Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TA,Live animals,170,Peru,5608,Import Quantity,976,Sheep,1962,1962,Head,316,,Official data
TA,Live animals,169,Paraguay,5908,Export Quantity,976,Sheep,1962,1962,Head,,M,Data not available
TA,Live animals,169,Paraguay,5608,Import Quantity,976,Sheep,1962,1962,Head,0,,Official data
TA,Live animals,9,Argentina,5908,Export Quantity,866,Cattle,1962,1962,Head,250274,,Official data
TA,Live animals,9,Argentina,5608,Import Quantity,866,Cattle,1962,1962,Head,262,,Official data
TA,Live animals,58,Ecuador,5908,Export Quantity,866,Cattle,1962,1962,Head,54,,Official data
TA,Live animals,58,Ecuador,5608,Import Quantity,866,Cattle,1962,1962,Head,83,,Official data
TA,Live animals,44,Colombia,5908,Export Quantity,866,Cattle,1962,1962,Head,120000,,Official data
TA,Live animals,44,Colombia,5608,Import Quantity,866,Cattle,1962,1962,Head,646,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5908,Export Quantity,866,Cattle,1962,1962,Head,0,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5608,Import Quantity,866,Cattle,1962,1962,Head,115649,*,Unofficial figure
TA,Live animals,234,Uruguay,5908,Export Quantity,866,Cattle,1962,1962,Head,1400,,Official data
TA,Live animals,234,Uruguay,5608,Import Quantity,866,Cattle,1962,1962,Head,0,,Official data
TA,Live animals,21,Brazil,5908,Export Quantity,866,Cattle,1962,1962,Head,233,,Official data
TA,Live animals,21,Brazil,5608,Import Quantity,866,Cattle,1962,1962,Head,19070,,Official data
TA,Live animals,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,1962,1962,Head,2308,,Official data
TA,Live animals,19,Bolivia (Plurinational State of),5608,Import Quantity,866,Cattle,1962,1962,Head,14870,*,Unofficial figure
TA,Live animals,170,Peru,5908,Export Quantity,866,Cattle,1962,1962,Head,22,,Official data
TA,Live animals,170,Peru,5608,Import Quantity,866,Cattle,1962,1962,Head,100582,,Official data
TA,Live animals,169,Paraguay,5908,Export Quantity,866,Cattle,1962,1962,Head,0,,Official data
TA,Live animals,9,Argentina,5908,Export Quantity,1034,Pigs,1962,1962,Head,108,,Official data
TA,Live animals,9,Argentina,5608,Import Quantity,1034,Pigs,1962,1962,Head,1,,Official data
TA,Live animals,58,Ecuador,5908,Export Quantity,1034,Pigs,1962,1962,Head,,M,Data not available
TA,Live animals,58,Ecuador,5608,Import Quantity,1034,Pigs,1962,1962,Head,0,,Official data
TA,Live animals,44,Colombia,5908,Export Quantity,1034,Pigs,1962,1962,Head,,M,Data not available
TA,Live animals,44,Colombia,5608,Import Quantity,1034,Pigs,1962,1962,Head,1229,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5908,Export Quantity,1034,Pigs,1962,1962,Head,0,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5608,Import Quantity,1034,Pigs,1962,1962,Head,114,,Official data
