"from","to","distance","flow","year","popFrom","popTo","year.1"
"Argentina","Paraguay",1481.30586680423,0,"1988",29167008,432100,"1988"
"Bolivia","Paraguay",978.129744567879,0,"1988",7505493,432100,"1988"
"Brazil","Paraguay",1489.69662074046,0,"1988",20084880,432100,"1988"
"Chile","Paraguay",1812.53392353318,0,"1988",5300000,432100,"1988"
"Colombia","Paraguay",3415.921941428,0,"1988",2542000,432100,"1988"
"Ecuador","Paraguay",3250.23740422779,0,"1988",1226300,432100,"1988"
"Paraguay","Paraguay",0,0,"1988",432100,432100,"1988"
"Peru","Paraguay",2313.14659568562,0,"1988",12922000,432100,"1988"
"Uruguay","Paraguay",1086.56070082819,197,"1988",24689168,432100,"1988"
"Venezuela","Paraguay",3484.3757151894,0,"1988",323800,432100,"1988"
"Argentina","Peru",3042.91337969977,0,"1988",29167008,12922000,"1988"
"Bolivia","Peru",1346.81559926284,0,"1988",7505493,12922000,"1988"
"Brazil","Peru",2335.42519419623,0,"1988",20084880,12922000,"1988"
"Chile","Peru",2907.26314858048,0,"1988",5300000,12922000,"1988"
"Colombia","Peru",1462.40463082501,0,"1988",2542000,12922000,"1988"
"Ecuador","Peru",970.593580094301,0,"1988",1226300,12922000,"1988"
"Paraguay","Peru",2313.14659568562,0,"1988",432100,12922000,"1988"
"Peru","Peru",0,0,"1988",12922000,12922000,"1988"
"Uruguay","Peru",3235.55515495335,10448,"1988",24689168,12922000,"1988"
"Venezuela","Peru",2027.07639181003,0,"1988",323800,12922000,"1988"
"Argentina","Uruguay",886.025785928525,2,"1988",29167008,24689168,"1988"
"Bolivia","Uruguay",1988.1166048493,0,"1988",7505493,24689168,"1988"
"Brazil","Uruguay",2459.62642648411,36,"1988",20084880,24689168,"1988"
"Chile","Uruguay",1425.34334919956,0,"1988",5300000,24689168,"1988"
"Colombia","Uruguay",4461.84126189406,0,"1988",2542000,24689168,"1988"
"Ecuador","Uruguay",4202.77606287468,0,"1988",1226300,24689168,"1988"
"Paraguay","Uruguay",1086.56070082819,0,"1988",432100,24689168,"1988"
"Peru","Uruguay",3235.55515495335,0,"1988",12922000,24689168,"1988"
"Uruguay","Uruguay",0,0,"1988",24689168,24689168,"1988"
"Venezuela","Uruguay",4569.68551328267,0,"1988",323800,24689168,"1988"
"Argentina","Venezuela",4709.22119899415,0,"1988",29167008,323800,"1988"
"Bolivia","Venezuela",2657.95864060761,0,"1988",7505493,323800,"1988"
"Brazil","Venezuela",2467.66256692768,0,"1988",20084880,323800,"1988"
"Chile","Venezuela",4731.36564349597,0,"1988",5300000,323800,"1988"
"Colombia","Venezuela",840.85503052881,0,"1988",2542000,323800,"1988"
