state	c_allTransitions[1]
1.741E7	25.0
1.742E7	25.0
1.743E7	26.0
1.744E7	25.0
1.745E7	25.0
1.746E7	25.0
1.747E7	24.0
1.748E7	27.0
1.749E7	24.0
1.75E7	24.0
1.751E7	26.0
1.752E7	25.0
1.753E7	25.0
1.754E7	26.0
1.755E7	26.0
1.756E7	27.0
1.757E7	26.0
1.758E7	24.0
1.759E7	25.0
1.76E7	23.0
1.761E7	25.0
1.762E7	25.0
1.763E7	24.0
1.764E7	26.0
1.765E7	24.0
1.766E7	24.0
1.767E7	25.0
1.768E7	25.0
1.769E7	26.0
1.77E7	25.0
1.771E7	25.0
1.772E7	25.0
1.773E7	24.0
1.774E7	24.0
1.775E7	25.0
1.776E7	24.0
1.777E7	24.0
1.778E7	24.0
1.779E7	25.0
1.78E7	24.0
1.781E7	24.0
1.782E7	24.0
1.783E7	25.0
1.784E7	25.0
1.785E7	26.0
1.786E7	24.0
1.787E7	25.0
1.788E7	27.0
1.789E7	25.0
1.79E7	25.0
1.791E7	27.0
1.792E7	25.0
1.793E7	22.0
1.794E7	25.0
1.795E7	25.0
1.796E7	24.0
1.797E7	25.0
1.798E7	24.0
1.799E7	26.0
1.8E7	26.0
1.801E7	25.0
1.802E7	24.0
1.803E7	25.0
1.804E7	25.0
1.805E7	25.0
1.806E7	25.0
1.807E7	25.0
1.808E7	24.0
1.809E7	24.0
1.81E7	25.0
1.811E7	28.0
1.812E7	25.0
1.813E7	24.0
1.814E7	24.0
1.815E7	24.0
1.816E7	25.0
1.817E7	24.0
1.818E7	23.0
1.819E7	23.0
1.82E7	27.0
1.821E7	25.0
1.822E7	27.0
1.823E7	25.0
1.824E7	24.0
1.825E7	27.0
1.826E7	24.0
1.827E7	22.0
1.828E7	24.0
1.829E7	24.0
1.83E7	25.0
1.831E7	26.0
1.832E7	25.0
1.833E7	25.0
1.834E7	24.0
1.835E7	24.0
1.836E7	24.0
1.837E7	24.0
1.838E7	25.0
1.839E7	24.0
1.84E7	27.0
1.841E7	24.0
1.842E7	25.0
1.843E7	24.0
1.844E7	24.0
1.845E7	26.0
1.846E7	23.0
1.847E7	26.0
1.848E7	26.0
1.849E7	23.0
1.85E7	24.0
1.851E7	25.0
1.852E7	25.0
1.853E7	26.0
1.854E7	24.0
1.855E7	24.0
1.856E7	24.0
1.857E7	23.0
1.858E7	26.0
1.859E7	23.0
1.86E7	25.0
1.861E7	27.0
1.862E7	24.0
1.863E7	25.0
1.864E7	27.0
1.865E7	26.0
1.866E7	25.0
1.867E7	24.0
1.868E7	27.0
1.869E7	24.0
1.87E7	26.0
1.871E7	24.0
1.872E7	24.0
1.873E7	24.0
1.874E7	24.0
1.875E7	24.0
1.876E7	25.0
1.877E7	25.0
1.878E7	24.0
1.879E7	25.0
1.88E7	24.0
1.881E7	24.0
1.882E7	24.0
1.883E7	24.0
1.884E7	24.0
1.885E7	24.0
1.886E7	23.0
1.887E7	24.0
1.888E7	27.0
1.889E7	25.0
1.89E7	25.0
1.891E7	24.0
1.892E7	25.0
1.893E7	24.0
1.894E7	25.0
1.895E7	26.0
1.896E7	24.0
1.897E7	23.0
1.898E7	24.0
1.899E7	24.0
1.9E7	23.0
1.901E7	26.0
1.902E7	24.0
1.903E7	25.0
1.904E7	24.0
1.905E7	26.0
1.906E7	25.0
1.907E7	24.0
1.908E7	26.0
1.909E7	26.0
1.91E7	26.0
1.911E7	24.0
1.912E7	25.0
1.913E7	25.0
1.914E7	27.0
1.915E7	24.0
1.916E7	25.0
1.917E7	24.0
1.918E7	24.0
1.919E7	24.0
1.92E7	24.0
1.921E7	25.0
1.922E7	25.0
1.923E7	23.0
1.924E7	24.0
1.925E7	25.0
1.926E7	24.0
1.927E7	28.0
1.928E7	24.0
1.929E7	24.0
1.93E7	25.0
1.931E7	25.0
1.932E7	24.0
1.933E7	24.0
1.934E7	25.0
1.935E7	25.0
1.936E7	25.0
1.937E7	24.0
1.938E7	25.0
1.939E7	24.0
1.94E7	24.0
1.941E7	25.0
1.942E7	25.0
1.943E7	25.0
1.944E7	23.0
1.945E7	25.0
